Pilar Pembangunan,Nomor TPB,RKA,Cash Out,Commited,Realisasi Total (Rp)
Sosial,1,232388333.3,109115000,96535000,205650000
,2,15750000,15000000,0,15000000
,3,248145333.3,232440000,0,232440000
,4,539719592.9,313339297,205080160.2,51841945
,5,0,0,0,0
Subtotal 1,,1036003260,669894297,301615160.2,971509457
Ekonomi,7,0,0,0,0
,8,127748773,23570260,103000000,126570260
,9,989236500,929635000,12495000,942130000
,10,126330000,10600000,0,10600000
,17,0,0,0,0
Subtotal 2,,1243315273,963805260,115495000,1079300260
Lingkungan,6,0,0,0,0
,11,49528000,23360000,12500000,35860000
,12,0,0,0,0
,13,0,0,0,0
,15,321512520,98000000,208202400,306202400
Subtotal 3,,371040520,121360000,220702400,342062400
Hukum & Tata Kelola,16,2625000,2500000,0,2500000
Subtotal 4,,2625000,2500000,0,2500000
,,,,,
TOTAL,,2652984053,1757559557,637812560.2,2395372117
